#"CEDAD1 - A:Sig=200,4  Ref=360,100 V-15N-5-r001.d"
#Point,X(Minutes),Y(Response Units)
0,0.004,-0.0333786010742188
1,0.010,-0.0371932983398438
2,0.017,-0.0405311584472656
3,0.024,-0.0410079956054688
4,0.030,-0.03814697265625
5,0.037,-0.0324249267578125
6,0.044,-0.0243186950683594
7,0.050,-0.0152587890625
8,0.057,-0.00762939453125
9,0.064,-0.00238418579101563
10,0.070,0
11,0.077,-0.000476837158203125
12,0.084,-0.00286102294921875
13,0.090,-0.00619888305664063
14,0.097,-0.0095367431640625
15,0.104,-0.0128746032714844
16,0.110,-0.0171661376953125
17,0.117,-0.0219345092773438
18,0.124,-0.0276565551757813
19,0.130,-0.0324249267578125
20,0.137,-0.0371932983398438
21,0.144,-0.0405311584472656
22,0.150,-0.0433921813964844
23,0.157,-0.0467300415039063
24,0.164,-0.0500679016113281
25,0.170,-0.0538825988769531
26,0.177,-0.0567436218261719
27,0.184,-0.0596046447753906
28,0.190,-0.0619888305664063
29,0.197,-0.0638961791992188
30,0.204,-0.064849853515625
31,0.210,-0.0658035278320313
32,0.217,-0.0681877136230469
33,0.224,-0.0710487365722656
34,0.230,-0.0734329223632813
35,0.237,-0.0748634338378906
36,0.244,-0.0758171081542969
37,0.250,-0.0758171081542969
38,0.257,-0.0758171081542969
39,0.264,-0.0762939453125
40,0.270,-0.0772476196289063
41,0.277,-0.0782012939453125
42,0.284,-0.0796318054199219
43,0.290,-0.0805854797363281
44,0.297,-0.0810623168945313
45,0.304,-0.0810623168945313
46,0.310,-0.0810623168945313
47,0.317,-0.0815391540527344
48,0.324,-0.0820159912109375
49,0.330,-0.0829696655273438
50,0.337,-0.0844001770019531
51,0.344,-0.0863075256347656
52,0.350,-0.0886917114257813
53,0.357,-0.0905990600585938
54,0.364,-0.0920295715332031
55,0.370,-0.0944137573242188
56,0.377,-0.0963211059570313
57,0.384,-0.0972747802734375
58,0.390,-0.0972747802734375
59,0.397,-0.0977516174316406
60,0.404,-0.0977516174316406
61,0.410,-0.0977516174316406
62,0.417,-0.0963211059570313
63,0.424,-0.0948905944824219
64,0.430,-0.0939369201660156
65,0.437,-0.0929832458496094
66,0.444,-0.0929832458496094
67,0.450,-0.0944137573242188
68,0.457,-0.0963211059570313
69,0.464,-0.0982284545898438
70,0.470,-0.0996589660644531
71,0.477,-0.101089477539063
72,0.484,-0.102043151855469
73,0.490,-0.102519989013672
74,0.497,-0.102043151855469
75,0.504,-0.102043151855469
76,0.510,-0.102519989013672
77,0.517,-0.102996826171875
78,0.524,-0.102996826171875
79,0.530,-0.103473663330078
80,0.537,-0.103950500488281
81,0.544,-0.104904174804688
82,0.550,-0.105857849121094
83,0.557,-0.106334686279297
84,0.564,-0.1068115234375
85,0.570,-0.106334686279297
86,0.577,-0.104904174804688
87,0.584,-0.104427337646484
88,0.590,-0.103950500488281
89,0.597,-0.103473663330078
90,0.604,-0.103473663330078
91,0.610,-0.104427337646484
92,0.617,-0.105381011962891
93,0.624,-0.104904174804688
94,0.630,-0.104427337646484
95,0.637,-0.104427337646484
96,0.644,-0.104427337646484
97,0.650,-0.105381011962891
98,0.657,-0.106334686279297
99,0.664,-0.107765197753906
100,0.670,-0.108718872070313
101,0.677,-0.108242034912109
102,0.684,-0.107288360595703
103,0.690,-0.105381011962891
104,0.697,-0.103950500488281
105,0.704,-0.102996826171875
106,0.710,-0.102996826171875
107,0.717,-0.103473663330078
108,0.724,-0.104904174804688
109,0.730,-0.106334686279297
110,0.737,-0.1068115234375
111,0.744,-0.106334686279297
112,0.750,-0.105381011962891
113,0.757,-0.104427337646484
114,0.764,-0.103473663330078
115,0.770,-0.102519989013672
