sample,rep,no3_area,istd_area,analysis_day,n_add
FS-O-1,1,2.22,10.16,1,0
FS-O-1,2,2.09,10.71,1,0
FS-O-1,3,2.24,10.71,1,0
FS-O-2,1,1.27,13.22,1,0
FS-O-2,2,1.68,15.58,1,0
FS-O-2,3,1.12,11.19,1,0
FS-O-3,1,1.86,10.1,1,0
FS-O-3,2,1.61,9.08,1,0
FS-O-3,3,1.57,8.85,1,0
FS-O-4,1,1.25,12.77,1,0
FS-O-4,2,1.09,12.49,1,0
FS-O-4,3,1.92,13.21,1,0
FS-O-5,1,1.86,10.85,1,0
FS-O-5,2,1.86,13.34,1,0
FS-O-5,3,1.79,12.07,1,0
FS-O-6,1,1.19,10.75,1,0
FS-O-6,2,1,9.75,1,0
FS-O-6,3,1.23,10.81,1,0
FS-N-1,1,1.9,11.24,1,0.25
FS-N-1,2,1.93,11.2,1,0.25
FS-N-1,3,2.4,13,1,0.25
FS-N-2,1,3.32,13.86,1,0.25
FS-N-2,2,3.12,13.41,1,0.25
FS-N-2,3,3.15,13.59,1,0.25
FS-N-3,1,0.86,10.19,1,0.25
FS-N-3,2,0.87,10.31,1,0.25
FS-N-3,3,0.86,9.8,1,0.25
FS-N-4,1,4.54,13.95,1,0.25
FS-N-4,2,3.41,12.23,1,0.25
FS-N-4,3,3.76,11.22,1,0.25
FS-N-5,1,1.36,13.83,1,0.25
FS-N-5,2,1.34,13.17,1,0.25
FS-N-5,3,1.18,11.65,1,0.25
FS-N-6,1,0.78,10.78,1,0.25
FS-N-6,2,0.55,10.17,1,0.25
FS-N-6,3,0.39,9.87,1,0.25
FS-5N-1,1,10.21,11.73,1,1.25
FS-5N-1,2,9.18,10.56,1,1.25
FS-5N-1,3,8.72,9,1,1.25
FS-5N-2,1,7.51,12,1,1.25
FS-5N-2,2,6.34,10.89,1,1.25
FS-5N-2,3,7,11.6,1,1.25
FS-5N-3,1,7.4,9.97,1,1.25
FS-5N-3,2,7.89,10.27,1,1.25
FS-5N-3,3,7.69,10.1,1,1.25
FS-5N-4,1,7.59,10.01,1,1.25
FS-5N-4,2,5.81,7.64,1,1.25
FS-5N-4,3,7.18,9.14,1,1.25
FS-5N-5,1,4.74,10.52,1,1.25
FS-5N-5,2,4.12,9.45,1,1.25
FS-5N-5,3,4.1,8.99,1,1.25
FS-5N-6,1,3.81,8.71,1,1.25
FS-5N-6,2,4,9.43,1,1.25
FS-5N-6,3,3.11,7.31,1,1.25
FS-5N-7,1,1.41,9.68,1,1.25
FS-5N-7,2,0.99,7.7,1,1.25
FS-5N-7,3,1.3,9.5,1,1.25
FS-5N-8,1,2,9.74,1,1.25
FS-5N-8,2,1.83,9.13,1,1.25
FS-5N-8,3,1.69,8.53,1,1.25
FS-5N-9,1,2.5,6.64,1,1.25
FS-5N-9,2,3.5,8.87,1,1.25
FS-5N-9,3,2.9,7.69,1,1.25
FS-15N-1,1,29.72,14.1,1,3.75
FS-15N-1,2,26.51,14.55,1,3.75
FS-15N-1,3,22.72,12.95,1,3.75
FS-15N-2,1,16.41,10.57,1,3.75
FS-15N-2,2,16.73,11.46,1,3.75
FS-15N-2,3,14.34,9.7,1,3.75
FS-15N-3,1,28.48,9.31,1,3.75
FS-15N-3,2,29.26,9.84,1,3.75
FS-15N-3,3,29.55,9.61,1,3.75
FS-15N-4,1,129.64,17.13,1,3.75
FS-15N-4,2,102.66,12.44,1,3.75
FS-15N-4,3,107.36,12.42,1,3.75
FS-15N-5,1,46.79,11.7,1,3.75
FS-15N-5,2,49.34,13.33,1,3.75
FS-15N-5,3,39.22,10.17,1,3.75
FS-15N-6,1,20.43,9.59,1,3.75
FS-15N-6,2,20.25,9.3,1,3.75
FS-15N-6,3,25.08,10.41,1,3.75
7ppm,1,5.65,9.72,1,
7ppm,2,5.2,8.99,1,
7ppm,3,4.84,8.74,1,
80ppm,1,64,9.12,1,
80ppm,2,66.82,9.83,1,
80ppm,3,56.37,8.86,1,
