#"CEDAD1 - A:Sig=200,4  Ref=360,100 nitrite_nitrate_TFA.d"
#Point,X(Minutes),Y(Response Units)
0,0.004,-0.0300407409667969
1,0.010,-0.0348091125488281
2,0.017,-0.0391006469726563
3,0.024,-0.0424385070800781
4,0.030,-0.0438690185546875
5,0.037,-0.0438690185546875
6,0.044,-0.0433921813964844
7,0.050,-0.0433921813964844
8,0.057,-0.0433921813964844
9,0.064,-0.0438690185546875
10,0.070,-0.0467300415039063
11,0.077,-0.0529289245605469
12,0.084,-0.0600814819335938
13,0.090,-0.0677108764648438
14,0.097,-0.0734329223632813
15,0.104,-0.0782012939453125
16,0.110,-0.0815391540527344
17,0.117,-0.0848770141601563
18,0.124,-0.0872611999511719
19,0.130,-0.0901222229003906
20,0.137,-0.0939369201660156
21,0.144,-0.0987052917480469
22,0.150,-0.103950500488281
23,0.157,-0.108242034912109
24,0.164,-0.112533569335938
25,0.170,-0.116825103759766
26,0.177,-0.121116638183594
27,0.184,-0.125885009765625
28,0.190,-0.130653381347656
29,0.197,-0.134944915771484
30,0.204,-0.139236450195313
31,0.210,-0.143051147460938
32,0.217,-0.146389007568359
33,0.224,-0.149250030517578
34,0.230,-0.151634216308594
35,0.237,-0.153541564941406
36,0.244,-0.155448913574219
37,0.250,-0.157356262207031
38,0.257,-0.159263610839844
39,0.264,-0.161170959472656
40,0.270,-0.163555145263672
41,0.277,-0.165939331054688
42,0.284,-0.168800354003906
43,0.290,-0.170707702636719
44,0.297,-0.172138214111328
45,0.304,-0.173091888427734
46,0.310,-0.173568725585938
47,0.317,-0.173568725585938
48,0.324,-0.174045562744141
49,0.330,-0.174045562744141
50,0.337,-0.174522399902344
51,0.344,-0.174522399902344
52,0.350,-0.174999237060547
53,0.357,-0.174999237060547
54,0.364,-0.174999237060547
55,0.370,-0.176429748535156
56,0.377,-0.179290771484375
57,0.384,-0.182628631591797
58,0.390,-0.185489654541016
59,0.397,-0.186920166015625
60,0.404,-0.186920166015625
61,0.410,-0.185966491699219
62,0.417,-0.184059143066406
63,0.424,-0.181674957275391
64,0.430,-0.180244445800781
65,0.437,-0.180244445800781
66,0.444,-0.182151794433594
67,0.450,-0.184535980224609
68,0.457,-0.185966491699219
69,0.464,-0.186920166015625
70,0.470,-0.187873840332031
71,0.477,-0.188350677490234
72,0.484,-0.187873840332031
73,0.490,-0.187397003173828
74,0.497,-0.187873840332031
75,0.504,-0.189304351806641
76,0.510,-0.190258026123047
77,0.517,-0.19073486328125
78,0.524,-0.19073486328125
79,0.530,-0.189781188964844
80,0.537,-0.187873840332031
81,0.544,-0.185489654541016
82,0.550,-0.18310546875
83,0.557,-0.182628631591797
84,0.564,-0.183582305908203
85,0.570,-0.184535980224609
86,0.577,-0.185966491699219
87,0.584,-0.187873840332031
88,0.590,-0.189781188964844
89,0.597,-0.19073486328125
90,0.604,-0.19073486328125
91,0.610,-0.19073486328125
92,0.617,-0.19073486328125
93,0.624,-0.189781188964844
94,0.630,-0.188350677490234
95,0.637,-0.187397003173828
96,0.644,-0.185966491699219
97,0.650,-0.184535980224609
98,0.657,-0.18310546875
99,0.664,-0.182628631591797
100,0.670,-0.182628631591797
101,0.677,-0.183582305908203
102,0.684,-0.185489654541016
103,0.690,-0.187873840332031
104,0.697,-0.190258026123047
105,0.704,-0.192165374755859
106,0.710,-0.192642211914063
107,0.717,-0.191688537597656
108,0.724,-0.190258026123047
109,0.730,-0.188827514648438
110,0.737,-0.187873840332031
111,0.744,-0.187873840332031
112,0.750,-0.188827514648438
113,0.757,-0.191688537597656
114,0.764,-0.194549560546875
115,0.770,-0.196456909179688
116,0.777,-0.197410583496094
117,0.784,-0.197410583496094
118,0.790,-0.195503234863281
119,0.797,-0.193119049072266
120,0.804,-0.191211700439453
121,0.810,-0.191688537597656
122,0.817,-0.193119049072266
123,0.824,-0.195026397705078
124,0.830,-0.197410583496094
125,0.837,-0.199317932128906
126,0.844,-0.199794769287109
127,0.850,-0.197887420654297
128,0.857,-0.195980072021484
129,0.864,-0.194549560546875
130,0.870,-0.194072723388672
131,0.877,-0.193119049072266
132,0.884,-0.193119049072266
133,0.890,-0.193119049072266
134,0.897,-0.193119049072266
135,0.904,-0.192165374755859
136,0.910,-0.19073486328125
137,0.917,-0.190258026123047
138,0.924,-0.190258026123047
139,0.930,-0.189781188964844
140,0.937,-0.190258026123047
141,0.944,-0.19073486328125
142,0.950,-0.191688537597656
143,0.957,-0.192165374755859
144,0.964,-0.192642211914063
145,0.970,-0.191688537597656
146,0.977,-0.165939331054688
147,0.984,-0.00810623168945313
148,0.990,0.479221343994141
149,0.997,1.51538848876953
150,1.004,3.25155258178711
151,1.010,5.74827194213867
152,1.017,9.0031623840332
153,1.024,12.916088104248
154,1.030,17.2891616821289
155,1.037,21.8830108642578
156,1.044,25.9456634521484
157,1.050,27.9178619384766
158,1.057,27.0295143127441
159,1.064,23.590087890625
160,1.070,18.8288688659668
161,1.077,13.2660865783691
162,1.084,7.51972198486328
163,1.090,3.09324264526367
164,1.097,0.737667083740234
165,1.104,0.139713287353516
166,1.110,0.0710487365722656
167,1.117,0.0324249267578125
168,1.124,0.00762939453125
169,1.130,-0.00858306884765625
170,1.137,-0.019073486328125
171,1.144,-0.0262260437011719
172,1.150,-0.0314712524414063
173,1.157,-0.034332275390625
174,1.164,-0.0357627868652344
175,1.170,-0.0367164611816406
176,1.177,-0.0362396240234375
177,1.184,-0.0348091125488281
178,1.190,-0.0324249267578125
179,1.197,-0.030517578125
180,1.204,-0.0295639038085938
181,1.210,-0.0295639038085938
182,1.217,-0.030517578125
183,1.224,-0.0333786010742188
184,1.230,-0.0371932983398438
185,1.237,-0.0410079956054688
186,1.244,-0.0452995300292969
187,1.250,-0.0481605529785156
188,1.257,-0.049591064453125
189,1.264,-0.0500679016113281
190,1.270,-0.0505447387695313
191,1.277,-0.0500679016113281
192,1.284,-0.049591064453125
193,1.290,-0.0491142272949219
194,1.297,-0.049591064453125
195,1.304,-0.0500679016113281
196,1.310,-0.0505447387695313
197,1.317,-0.0519752502441406
198,1.324,-0.0538825988769531
199,1.330,-0.0562667846679688
200,1.337,-0.0581741333007813
201,1.344,-0.0596046447753906
202,1.350,-0.0596046447753906
203,1.357,-0.0591278076171875
204,1.364,-0.0576972961425781
205,1.370,-0.0557899475097656
206,1.377,-0.05340576171875
207,1.384,-0.0510215759277344
208,1.390,-0.0491142272949219
209,1.397,-0.0472068786621094
210,1.404,-0.0448226928710938
211,1.410,-0.0410079956054688
212,1.417,-0.0371932983398438
213,1.424,-0.0329017639160156
214,1.430,-0.0276565551757813
215,1.437,-0.0224113464355469
216,1.444,-0.0181198120117188
217,1.450,-0.0138282775878906
218,1.457,-0.0109672546386719
219,1.464,-0.00905990600585938
220,1.470,-0.00905990600585938
221,1.477,-0.00905990600585938
222,1.484,-0.0095367431640625
223,1.490,-0.0109672546386719
224,1.497,-0.0123977661132813
225,1.504,-0.0143051147460938
226,1.510,-0.0162124633789063
227,1.517,-0.0181198120117188
228,1.524,-0.0219345092773438
229,1.530,-0.0257492065429688
230,1.537,-0.0286102294921875
231,1.544,-0.030517578125
232,1.550,-0.0319480895996094
233,1.557,-0.0338554382324219
234,1.564,-0.0357627868652344
235,1.570,-0.0376701354980469
236,1.577,-0.0391006469726563
237,1.584,-0.0410079956054688
238,1.590,-0.0438690185546875
239,1.597,-0.0462532043457031
240,1.604,-0.0472068786621094
241,1.610,-0.0467300415039063
242,1.617,-0.0467300415039063
243,1.624,-0.0472068786621094
244,1.630,-0.0481605529785156
245,1.637,-0.0481605529785156
246,1.644,-0.0486373901367188
247,1.650,-0.0505447387695313
248,1.657,-0.05340576171875
249,1.664,-0.0557899475097656
250,1.670,-0.0576972961425781
251,1.677,-0.0596046447753906
252,1.684,-0.0634193420410156
253,1.690,-0.0681877136230469
254,1.697,-0.0734329223632813
255,1.704,-0.0786781311035156
256,1.710,-0.0824928283691406
257,1.717,-0.0863075256347656
258,1.724,-0.0896453857421875
259,1.730,-0.0925064086914063
260,1.737,-0.0944137573242188
261,1.744,-0.0972747802734375
262,1.750,-0.101089477539063
263,1.757,-0.105381011962891
264,1.764,-0.109195709228516
265,1.770,-0.112533569335938
266,1.777,-0.115394592285156
267,1.784,-0.117301940917969
268,1.790,-0.114917755126953
269,1.797,-0.106334686279297
270,1.804,-0.0886917114257813
271,1.810,-0.0600814819335938
272,1.817,-0.019073486328125
273,1.824,0.0324249267578125
274,1.830,0.0925064086914063
275,1.837,0.159263610839844
276,1.844,0.228404998779297
277,1.850,0.299453735351563
278,1.857,0.371932983398438
279,1.864,0.445365905761719
280,1.870,0.519752502441406
281,1.877,0.5950927734375
282,1.884,0.670909881591797
283,1.890,0.746726989746094
284,1.897,0.823020935058594
285,1.904,0.9002685546875
286,1.910,0.977039337158203
287,1.917,1.05381011962891
288,1.924,1.13153457641602
289,1.930,1.20973587036133
290,1.937,1.28889083862305
291,1.944,1.36756896972656
292,1.950,1.44433975219727
293,1.957,1.48916244506836
294,1.964,1.44624710083008
295,1.970,1.29413604736328
296,1.977,1.05667114257813
297,1.984,0.782966613769531
298,1.990,0.494480133056641
299,1.997,0.224113464355469
300,2.004,0.0286102294921875
301,2.010,-0.0729560852050781
302,2.017,-0.087738037109375
303,2.024,0.267505645751953
304,2.030,1.80912017822266
305,2.037,4.86850738525391
306,2.044,8.99219512939453
307,2.050,13.18359375
308,2.057,16.9215202331543
309,2.064,19.8445320129395
310,2.070,21.1353302001953
311,2.077,20.477294921875
312,2.084,18.3401107788086
313,2.090,15.7384872436523
314,2.097,13.1993293762207
315,2.104,10.7779502868652
316,2.110,8.50009918212891
317,2.117,6.41489028930664
318,2.124,4.58908081054688
319,2.130,3.082275390625
320,2.137,1.92403793334961
321,2.144,1.10721588134766
322,2.150,0.593662261962891
323,2.157,0.317573547363281
324,2.164,0.196456909179688
325,2.170,0.152111053466797
326,2.177,0.134468078613281
327,2.184,0.122547149658203
328,2.190,0.112533569335938
329,2.197,0.102519989013672
330,2.204,0.0939369201660156
331,2.210,0.0867843627929688
332,2.217,0.0805854797363281
333,2.224,0.0748634338378906
334,2.230,0.0691413879394531
335,2.237,0.0643730163574219
336,2.244,0.0605583190917969
337,2.250,0.0562667846679688
338,2.257,0.0510215759277344
339,2.264,0.0457763671875
340,2.270,0.0400543212890625
341,2.277,0.034332275390625
342,2.284,0.0281333923339844
343,2.290,0.0219345092773438
344,2.297,0.0166893005371094
345,2.304,0.0123977661132813
346,2.310,0.0100135803222656
347,2.317,0.00858306884765625
348,2.324,0.0147819519042969
349,2.330,0.0319480895996094
350,2.337,0.0591278076171875
351,2.344,0.0891685485839844
352,2.350,0.117301940917969
353,2.357,0.141143798828125
354,2.364,0.154972076416016
355,2.370,0.155448913574219
356,2.377,0.14495849609375
357,2.384,0.130653381347656
358,2.390,0.118255615234375
359,2.397,0.107765197753906
360,2.404,0.0996589660644531
361,2.410,0.0929832458496094
362,2.417,0.0872611999511719
363,2.424,0.0824928283691406
364,2.430,0.0777244567871094
365,2.437,0.0734329223632813
366,2.444,0.0696182250976563
367,2.450,0.0658035278320313
368,2.457,0.0615119934082031
369,2.464,0.0562667846679688
370,2.470,0.0505447387695313
371,2.477,0.0433921813964844
372,2.484,0.0352859497070313
373,2.490,0.0281333923339844
374,2.497,0.0224113464355469
375,2.504,0.0181198120117188
376,2.510,0.0152587890625
377,2.517,0.0119209289550781
378,2.524,0.00095367431640625
379,2.530,-0.0205039978027344
380,2.537,-0.0500679016113281
381,2.544,-0.0810623168945313
382,2.550,-0.108718872070313
383,2.557,-0.132083892822266
384,2.564,-0.14495849609375
385,2.570,-0.145912170410156
386,2.577,-0.138759613037109
387,2.584,-0.130653381347656
388,2.590,-0.125408172607422
389,2.597,-0.122547149658203
390,2.604,-0.120639801025391
391,2.610,-0.118255615234375
392,2.617,-0.116348266601563
393,2.624,-0.114917755126953
394,2.630,-0.113964080810547
395,2.637,-0.112533569335938
396,2.644,-0.111579895019531
397,2.650,-0.111579895019531
398,2.657,-0.112533569335938
399,2.664,-0.113964080810547
400,2.670,-0.115394592285156
401,2.677,-0.116825103759766
402,2.684,-0.119209289550781
403,2.690,-0.121116638183594
404,2.697,-0.122547149658203
405,2.704,-0.122547149658203
406,2.710,-0.1220703125
407,2.717,-0.122547149658203
408,2.724,-0.123023986816406
409,2.730,-0.124454498291016
410,2.737,-0.125408172607422
411,2.744,-0.126838684082031
412,2.750,-0.128746032714844
413,2.757,-0.130653381347656
414,2.764,-0.131607055664063
415,2.770,-0.132083892822266
416,2.777,-0.133037567138672
417,2.784,-0.133514404296875
418,2.790,-0.133514404296875
419,2.797,-0.133037567138672
420,2.804,-0.133037567138672
421,2.810,-0.133991241455078
422,2.817,-0.134468078613281
423,2.824,-0.134468078613281
424,2.830,-0.134468078613281
425,2.837,-0.134468078613281
426,2.844,-0.134944915771484
427,2.850,-0.135898590087891
