sample,rep,no3_area,istd_area,analysis_day,n_add
7ppm,1,7.05,12.15,2,
7ppm,2,5.07,9.14,2,
7ppm,3,6.95,11.16,2,
7ppm,1,7.57,14.2,3,
7ppm,2,6.71,12.72,3,
7ppm,3,5.41,9.99,3,
7ppm,1,6.8,11.2,4,
7ppm,2,6.54,11.74,4,
7ppm,3,5.61,10.33,4,
80ppm,1,66.68,10.5,2,
80ppm,2,66.58,10.54,2,
80ppm,3,64.76,10.22,2,
80ppm,1,77.37,12.59,3,
80ppm,2,69.47,11.9,3,
80ppm,3,71.44,11.38,3,
80ppm,1,76.98,12.29,4,
80ppm,2,75.82,11.77,4,
80ppm,3,60.19,9.72,4,
V-10N-1,1,5.13,9.95,2,2.5
V-10N-1,2,5.03,10.04,2,2.5
V-10N-1,3,6.3,13.83,2,2.5
V-10N-2,1,4.12,12.12,3,2.5
V-10N-2,2,4.54,14.08,3,2.5
V-10N-2,3,3.94,12.74,3,2.5
V-10N-3,1,8.13,9.76,3,2.5
V-10N-3,2,8.04,10.03,3,2.5
V-10N-3,3,6.4,7.75,3,2.5
V-10N-4,1,2.68,14.13,4,2.5
V-10N-4,2,2.27,11.52,4,2.5
V-10N-4,3,2.85,15.12,4,2.5
V-10N-5,1,2.68,14.13,4,2.5
V-10N-5,2,2.27,11.52,4,2.5
V-10N-5,3,2.85,15.12,4,2.5
V-10N-6,1,8.08,13.69,3,2.5
V-10N-6,2,6.94,12.3,3,2.5
V-10N-6,3,6.33,11.34,3,2.5
V-15N-1,1,17.42,12.93,3,3.75
V-15N-1,2,13.33,10.14,3,3.75
V-15N-1,3,14.18,10.28,3,3.75
V-15N-10,1,16.37,12.25,2,3.75
V-15N-10,2,14.39,11.47,2,3.75
V-15N-10,3,13.49,10.34,2,3.75
V-15N-11,1,11.15,11.26,3,3.75
V-15N-11,2,11.67,11.59,3,3.75
V-15N-11,3,10.57,10.67,3,3.75
V-15N-12,1,7.05,10.56,3,3.75
V-15N-12,2,6.69,10.21,3,3.75
V-15N-12,3,6.39,9.66,3,3.75
V-15N-2,1,20.74,9.63,3,3.75
